pct,wf,hp,hr,merge,ctw-open
0,0.819,0.000,0.819,0.000,0.000
5,0.807,0.844,0.773,0.748,0.826
10,0.799,0.835,0.768,0.753,0.821
15,0.791,0.843,0.760,0.765,0.832
20,0.806,0.859,0.775,0.782,0.840
25,0.801,0.854,0.775,0.792,0.841
30,0.813,0.878,0.785,0.812,0.868
35,0.808,0.892,0.774,0.815,0.878
40,0.813,0.879,0.782,0.813,0.865
45,0.806,0.893,0.784,0.837,0.884
50,0.810,0.906,0.778,0.833,0.898
55,0.804,0.898,0.772,0.832,0.891
60,0.814,0.907,0.786,0.853,0.899
65,0.804,0.904,0.777,0.848,0.898
70,0.806,0.914,0.783,0.864,0.906
75,0.812,0.919,0.785,0.867,0.914
80,0.806,0.921,0.782,0.871,0.916
85,0.816,0.924,0.789,0.871,0.915
90,0.805,0.925,0.782,0.880,0.919
95,0.812,0.921,0.787,0.874,0.916
100,0.802,0.927,0.775,0.875,0.920
