pct,k2-ctw,k2-hp,k2-wf,k4-ctw,k4-hp,k4-wf
0,0.000,0.000,0.703,0.000,0.000,0.552
5,0.048,0.043,0.703,0.037,0.028,0.552
10,0.070,0.065,0.703,0.053,0.045,0.552
15,0.113,0.101,0.703,0.094,0.080,0.552
20,0.147,0.130,0.703,0.124,0.103,0.552
25,0.169,0.147,0.703,0.139,0.112,0.552
30,0.228,0.202,0.703,0.199,0.164,0.552
35,0.256,0.236,0.703,0.223,0.192,0.552
40,0.296,0.261,0.703,0.243,0.205,0.552
45,0.353,0.312,0.703,0.292,0.243,0.552
50,0.413,0.361,0.703,0.338,0.275,0.552
55,0.447,0.402,0.703,0.362,0.311,0.552
60,0.439,0.395,0.703,0.361,0.310,0.552
65,0.500,0.442,0.703,0.413,0.353,0.552
70,0.530,0.470,0.703,0.445,0.368,0.552
75,0.589,0.524,0.703,0.495,0.420,0.552
80,0.612,0.536,0.703,0.506,0.424,0.552
85,0.637,0.561,0.703,0.522,0.430,0.552
90,0.688,0.607,0.703,0.570,0.475,0.552
95,0.725,0.644,0.703,0.609,0.510,0.552
100,0.765,0.675,0.703,0.631,0.526,0.552
